13,42
55,34
78,26
13,43
14,43
52,32
52,33
52,34
53,33
53,34
42,31
118,111
153,122
16,18
16,19
16,20
17,18
17,19
17,20
311,22
127,98
127,99
127,100
128,99
111,111
111,121
121,111
112,121
113,42
155,134
178,126
113,143
114,143
152,132
152,133
152,134
153,133
153,134
142,131
65,55
65,56
65,57
65,58
65,59
66,55
66,56
66,57
66,58
66,59
67,55
67,56
67,57
67,58
67,59
68,55
68,56
68,57
68,58
68,59
69,55
69,56
69,57
69,58
69,59
70,55
70,56
70,57
70,58
70,59
71,55
71,56
71,57
71,58
71,59
72,55
72,56
72,57
72,58
72,59
65,115
65,116
65,117
65,118
65,119
66,115
66,116
66,117
66,118
66,119
67,115
67,116
67,117
67,118
67,119
68,115
68,116
68,117
68,118
68,119
69,115
69,116
69,117
69,118
69,119
90,80
91,80
91,79
91,78
89,78
90,30
91,30
90,29
91,29
100,30
100,29
100,31
101,28
102,27
103,27
105,28
106,29
106,30
107,30
106,31
105,32
103,33
102,33
101,32
104,30
110,29
111,29
110,28
111,28
110,27
111,27
112,26
112,30
114,26
114,25
114,30
114,31
124,27
125,27
124,28
125,28

